id	filename	md5	size	state
7235fd65-e9cb-45f1-ac78-cad80823325e	b021039d-26c3-4851-9641-ddd81e408339.rna_seq.augmented_star_gene_counts.tsv	b8849d5006f38f71d2d85d90b54e5961	4252760	released
0f1cf3a6-6e68-440a-9744-85e44d88b61f	e6b6dada-24d1-4020-b5c0-3824670d079e.rna_seq.augmented_star_gene_counts.tsv	ac15f0c0a026d09df60d531619d80984	4250804	released
c1f3f326-e99f-4811-9665-d15d6d8a1c33	8b0bdebf-7292-4b66-bcf2-fcb0a06c24e3.rna_seq.augmented_star_gene_counts.tsv	de75afc9b2969a0f1bb31cd4011d141e	4229758	released
bc0a4326-63d2-4ec4-9af6-7b421aa8aa49	650319bc-20e1-4451-bcb5-a35c360060ef.rna_seq.augmented_star_gene_counts.tsv	f40213ccf554f506a420c71cc2ba0fe5	4238766	released
0022cd20-f64f-4773-b9ff-a3de0b71b259	8d1641ea-7552-4d23-9298-094e0056386a.rna_seq.augmented_star_gene_counts.tsv	7101938d6f12ed28f86bab21ae94e9bc	4248309	released
90eefb33-6808-45c3-9ab1-6eca0decdc9d	71c9a6fc-0538-4533-af51-f7c9defe7770.rna_seq.augmented_star_gene_counts.tsv	3e3f4b56a5142e2be9ae6ca3f927c072	4238678	released
cc7f30ec-5369-45ec-80cb-68534838a655	cc66d11a-33c0-4247-9072-6e7c0d0b6112.rna_seq.augmented_star_gene_counts.tsv	d49025f52acc466d3422baae1c3319e1	4242388	released
c89590e8-8b74-4c05-a022-e21eab5cffdd	9079bad4-9d01-4eb9-999d-35ad734be2e8.rna_seq.augmented_star_gene_counts.tsv	edcf72c86c5f03541c862ad4e9cdea61	4220995	released
cde8361d-ade2-4103-b092-3ee9cbf85ea1	4b42e241-a674-4d6c-b217-dcea51e6cc4f.rna_seq.augmented_star_gene_counts.tsv	bc683f8e4b586c1a84b497b05de5b006	4252170	released
14edb678-3b6c-4a58-aabf-0f9d1f7d9bdc	f5b3a6d0-3b56-4ad2-b520-8bcaadb6bd0e.rna_seq.augmented_star_gene_counts.tsv	54029f660fbd07f2a8cdb61d586b67dc	4235171	released
d2e2915c-125e-45c6-b7f3-6a815b3d2859	96a45a70-d4b5-4090-b603-73b7379679d6.rna_seq.augmented_star_gene_counts.tsv	e46cabde61f942e44cea63c347f1e5f2	4247897	released
56a26df4-d9c1-4f43-bb44-8afd34eea927	95e77e5a-9963-4d65-935d-893a5dbe702e.rna_seq.augmented_star_gene_counts.tsv	908d2e9d5048ce0c5a81d75d9d438a8c	4232942	released
7b188e2a-4a56-49f9-b527-cd61a646f6c7	cd215363-3f4a-4928-9dbb-60735f4c27ce.rna_seq.augmented_star_gene_counts.tsv	33c3be660963e577f2ae8412135cd7dc	4241439	released
0b798fe4-1c51-4c36-afc8-5bee39fd6077	e3142cf7-334f-4f34-a5da-53ffa4e1ba33.rna_seq.augmented_star_gene_counts.tsv	eb5e843b2164dcee88d5eda0fb11c0dc	4252966	released
